2025-06-17 00:26:02,363 INFO:✅ 바이낸스 마켓 정보 로딩 성공.
2025-06-17 00:26:02,426 INFO:✅ [XRPUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,475 INFO:ℹ️ [XRPUSDT] 설정 변경 필요 없음
2025-06-17 00:26:02,523 INFO:✅ [SOLUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,572 INFO:ℹ️ [SOLUSDT] 설정 변경 필요 없음
2025-06-17 00:26:02,641 INFO:✅ [ETHUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,690 INFO:ℹ️ [ETHUSDT] 설정 변경 필요 없음
2025-06-17 01:15:01,460 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 6/11점, 숏: 1/11점
2025-06-17 01:16:00,708 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:16:00,986 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 2/11점
2025-06-17 01:16:01,269 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 2/11점
2025-06-17 01:17:00,510 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 9/11점, 숏: 1/11점
2025-06-17 01:17:00,785 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 9/11점, 숏: 1/11점
2025-06-17 01:17:01,061 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:18:00,294 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:18:00,564 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:18:00,869 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:19:01,073 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:19:01,375 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:19:01,654 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:20:00,905 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:20:01,164 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 2/11점
2025-06-17 01:20:01,460 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:21:00,692 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 01:21:00,990 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:21:01,268 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:22:00,493 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:22:00,797 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:22:01,083 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 8/11점, 숏: 0/11점
2025-06-17 01:23:00,314 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 6/11점, 숏: 5/11점
